match_number,team_a_source,team_b_source,team_a_source_type,team_b_source_type,team_a_group,team_a_position,team_b_group_options,team_b_position,source,confidence,notes,mapping_section,round,winner_to_match,loser_to_match_if_applicable,option_number,qualified_third_groups,slot_1A,slot_1B,slot_1D,slot_1E,slot_1G,slot_1I,slot_1K,slot_1L
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,40.0,"C,D,E,F,G,H,K,L",3C,3G,3E,3D,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,41.0,"C,D,E,F,G,H,J,L",3C,3G,3J,3D,3H,3F,3L,3E
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,42.0,"C,D,E,F,G,H,J,K",3C,3G,3J,3D,3H,3F,3E,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,43.0,"C,D,E,F,G,H,I,L",3C,3G,3E,3D,3H,3F,3L,3I
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,44.0,"C,D,E,F,G,H,I,K",3C,3G,3E,3D,3H,3F,3I,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,45.0,"C,D,E,F,G,H,I,J",3C,3G,3J,3D,3H,3F,3E,3I
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,46.0,"B,F,G,H,I,J,K,L",3H,3J,3B,3F,3I,3G,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,47.0,"B,E,G,H,I,J,K,L",3E,3J,3I,3B,3H,3G,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,48.0,"B,E,F,H,I,J,K,L",3E,3J,3B,3F,3I,3H,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,49.0,"B,E,F,G,I,J,K,L",3E,3J,3B,3F,3I,3G,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,50.0,"B,E,F,G,H,J,K,L",3E,3J,3B,3F,3H,3G,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,51.0,"B,E,F,G,H,I,K,L",3E,3G,3B,3F,3I,3H,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,52.0,"B,E,F,G,H,I,J,L",3E,3J,3B,3F,3H,3G,3L,3I
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,53.0,"B,E,F,G,H,I,J,K",3E,3J,3B,3F,3H,3G,3I,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,54.0,"B,D,G,H,I,J,K,L",3H,3J,3B,3D,3I,3G,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,55.0,"B,D,F,H,I,J,K,L",3H,3J,3B,3D,3I,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,56.0,"B,D,F,G,I,J,K,L",3I,3G,3B,3D,3J,3F,3L,3K
